CHS_58	HG00663	EAS
CHS_59	HG00613	EAS
CHS_60	HG00654	EAS
CHS_61	HG00683	EAS
CHS_62	HG00584	EAS
CHS_63	HG00708	EAS
CHS_64	HG00446	EAS
CHS_65	HG00458	EAS
CHS_66	HG00428	EAS
CHS_67	HG00559	EAS
CHS_68	HG00622	EAS
CHS_69	HG00557	EAS
CHS_70	HG00611	EAS
CHS_71	HG00437	EAS
CHS_72	HG00419	EAS
CHS_73	HG00475	EAS
CHS_74	HG00452	EAS
CHS_75	HG00436	EAS
CHS_76	HG00449	EAS
CHS_77	HG00443	EAS
CHS_78	HG00675	EAS
CHS_79	HG00565	EAS
CHS_80	HG00404	EAS
CHS_81	HG00451	EAS
CHS_82	HG00632	EAS
CHS_83	HG00560	EAS
CHS_84	HG00593	EAS
CHS_85	HG00473	EAS
CHS_86	HG00653	EAS
CHS_87	HG00595	EAS
CHS_88	HG00620	EAS
CHS_89	HG00671	EAS
CHS_90	HG00534	EAS
CHS_91	HG00614	EAS
CHS_92	HG00698	EAS
CHS_93	HG00729	EAS
CHS_94	HG00583	EAS
CHS_95	HG00406	EAS
CHS_96	HG00472	EAS
CHS_97	HG00717	EAS
CHS_98	HG00623	EAS
CHS_99	HG00625	EAS
CHS_100	HG00631	EAS
CHS_101	HG00599	EAS
CHS_102	HG00619	EAS
CHS_103	HG00580	EAS
CHS_104	HG00566	EAS
CHS_105	HG00626	EAS
CDX_1	HG01804	EAS
CDX_2	HG02190	EAS
CDX_3	HG00879	EAS
CDX_4	HG01805	EAS
CDX_5	HG02178	EAS
CDX_6	HG01817	EAS
CDX_7	HG02373	EAS
CDX_8	HG01795	EAS
CDX_9	HG01810	EAS
CDX_10	HG01794	EAS
CDX_11	HG02188	EAS
CDX_12	HG02385	EAS
CDX_13	HG02155	EAS
CDX_14	HG02397	EAS
CDX_15	HG02406	EAS
CDX_16	HG01798	EAS
CDX_17	HG02371	EAS
CDX_18	HG01796	EAS
CDX_19	HG01801	EAS
CDX_20	HG02392	EAS
CDX_21	HG02156	EAS
CDX_22	HG01797	EAS
CDX_23	HG02399	EAS
CDX_24	HG02353	EAS
CDX_25	HG00881	EAS
CDX_26	HG02184	EAS
CDX_27	HG02389	EAS
CDX_28	HG01800	EAS
CDX_29	HG02166	EAS
CDX_30	HG02396	EAS
CDX_31	HG00956	EAS
CDX_32	HG02384	EAS
CDX_33	HG02180	EAS
CDX_34	HG02250	EAS
CDX_35	HG00844	EAS
CDX_36	HG02154	EAS
CDX_37	HG00982	EAS
CDX_38	HG02374	EAS
CDX_39	HG01029	EAS
CDX_40	HG02151	EAS
CDX_41	HG02360	EAS
CDX_42	HG02410	EAS
CDX_43	HG00978	EAS
CDX_44	HG02152	EAS
CDX_45	HG02401	EAS
CDX_46	HG01046	EAS
CDX_47	HG01809	EAS
CDX_48	HG02153	EAS
CDX_49	HG02391	EAS
CDX_50	HG02409	EAS
CDX_51	HG02165	EAS
CDX_52	HG02408	EAS
CDX_53	HG02164	EAS
CDX_54	HG01813	EAS
CDX_55	HG02351	EAS
CDX_56	HG01806	EAS
CDX_57	HG01808	EAS
CDX_58	HG01807	EAS
CDX_59	HG02394	EAS
CDX_60	HG02356	EAS
CDX_61	HG01811	EAS
CDX_62	HG02402	EAS
CDX_63	HG01799	EAS
CDX_64	HG01802	EAS
CDX_65	HG01816	EAS
CDX_66	HG02390	EAS
CDX_67	HG02179	EAS
CDX_68	HG02187	EAS
CDX_69	HG02382	EAS
CDX_70	HG02185	EAS
CDX_71	HG00851	EAS
CDX_72	HG02375	EAS
CDX_73	HG00759	EAS
CDX_74	HG01815	EAS
CDX_75	HG00867	EAS
CDX_76	HG02383	EAS
CDX_77	HG02398	EAS
CDX_78	HG01031	EAS
CDX_79	HG02355	EAS
CDX_80	HG01812	EAS
CDX_81	HG02395	EAS
CDX_82	HG02186	EAS
CDX_83	HG02379	EAS
CDX_84	HG02386	EAS
CDX_85	HG02407	EAS
CDX_86	HG02182	EAS
CDX_87	HG02181	EAS
CDX_88	HG00864	EAS
CDX_89	HG02367	EAS
CDX_90	HG02380	EAS
CDX_91	HG02364	EAS
CDX_92	HG01028	EAS
CDX_93	HG00766	EAS
KHV_1	HG02023	EAS
KHV_2	HG01597	EAS
KHV_3	HG01853	EAS
KHV_4	HG02040	EAS
KHV_5	HG02522	EAS
KHV_6	HG02131	EAS
KHV_7	HG01861	EAS
KHV_8	HG02136	EAS
KHV_9	HG02128	EAS
KHV_10	HG02084	EAS
KHV_11	HG01851	EAS
KHV_12	HG01870	EAS
KHV_13	HG02064	EAS
KHV_14	HG02138	EAS
KHV_15	HG02512	EAS
KHV_16	HG01845	EAS
KHV_17	HG02032	EAS
KHV_18	HG01847	EAS
KHV_19	HG02028	EAS
KHV_20	HG02031	EAS
KHV_21	HG01596	EAS
KHV_22	HG02073	EAS
KHV_23	HG01865	EAS
KHV_24	HG01878	EAS
KHV_25	HG02122	EAS
KHV_26	HG01872	EAS
KHV_27	HG01841	EAS
KHV_28	HG02070	EAS
KHV_29	HG01871	EAS
KHV_30	HG01873	EAS
KHV_31	HG02050	EAS
KHV_32	HG01852	EAS
KHV_33	HG02134	EAS
KHV_34	HG02035	EAS
KHV_35	HG02072	EAS
KHV_36	HG02086	EAS
KHV_37	HG02137	EAS
KHV_38	HG01874	EAS
KHV_39	HG02087	EAS
KHV_40	HG01600	EAS
KHV_41	HG02076	EAS
